sced_timestamp_utc,resource_name,telemetered_net_output,base_point,hsl,lsl,soc,min_soc,max_soc,telemetered_resource_status
2026-04-28T05:00:21Z,BATCAVE_ESR1,0.589,0.0,100.0,-86.8,11.3373,0.0,96.3205,ON
2026-04-28T05:05:19Z,BATCAVE_ESR1,0.02,0.0,100.0,-87.1,11.2036,0.0,96.3259,ON
2026-04-28T05:10:19Z,BATCAVE_ESR1,-0.001,0.0,100.0,-87.1,11.0949,0.0,96.3268,ON
2026-04-28T05:15:19Z,BATCAVE_ESR1,0.013,0.0,100.0,-87.4,10.9741,0.0,96.3267,ON
2026-04-28T05:20:19Z,BATCAVE_ESR1,0.022,0.0,100.0,-87.9,10.861,0.0,96.323,ON
2026-04-28T05:25:18Z,BATCAVE_ESR1,-0.048,0.0,100.0,-88.2,10.7521,0.0,96.3232,ON
2026-04-28T05:30:17Z,BATCAVE_ESR1,-0.376,-3.81469726562e-06,100.0,-89.2,10.6147,0.0,96.3213,ON
2026-04-28T05:35:16Z,BATCAVE_ESR1,-0.43,0.0,100.0,-89.6,10.4521,0.0,96.3241,ON
2026-04-28T05:40:19Z,BATCAVE_ESR1,0.483,0.0,100.0,-92.6,10.3728,0.0,99.4403,ON
2026-04-28T05:45:17Z,BATCAVE_ESR1,-0.027,3.81469726562e-06,100.0,-92.9,10.2805,0.0,99.4475,ON
2026-04-28T05:50:19Z,BATCAVE_ESR1,-0.092,-3.81469726562e-06,100.0,-93.4,10.1678,0.0,99.4402,ON
2026-04-28T05:55:18Z,BATCAVE_ESR1,-0.095,-7.62939453125e-06,100.0,-93.4,10.0602,0.0,99.443,ON
2026-04-28T06:00:22Z,BATCAVE_ESR1,0.004,0.0,100.0,-93.5,9.965,0.0,99.446,ON
2026-04-28T06:05:18Z,BATCAVE_ESR1,0.003,7.62939453125e-06,100.0,-92.4,9.1399,0.0,96.7021,ON
2026-04-28T06:10:18Z,BATCAVE_ESR1,0.445,0.0,100.0,-92.4,9.0364,0.0,96.6958,ON
2026-04-28T06:15:18Z,BATCAVE_ESR1,0.023,-7.30623340606689,100.0,-92.5,8.9167,0.0,96.6967,ON
2026-04-28T06:20:17Z,BATCAVE_ESR1,-7.042,-7.40670776367188,100.0,-92.7,9.122,0.0,96.7,ON
2026-04-28T06:25:17Z,BATCAVE_ESR1,-7.105,-6.90721702575684,100.0,-92.5,9.707,0.0,96.691,ON
2026-04-28T06:30:20Z,BATCAVE_ESR1,-6.657,-6.30706024169922,100.0,-92.5,10.28,0.0,96.701,ON
2026-04-28T06:35:17Z,BATCAVE_ESR1,-5.975,-5.80710554122925,100.0,-92.5,10.797,0.0,96.696,ON
2026-04-28T06:40:21Z,BATCAVE_ESR1,-5.499,-5.30728483200073,100.0,-92.5,11.2414,0.0,96.6967,ON
2026-04-28T06:45:17Z,BATCAVE_ESR1,-4.94,-4.80770206451416,100.0,-92.5,11.6446,0.0,96.6976,ON
2026-04-28T06:50:18Z,BATCAVE_ESR1,-4.492,-4.50754880905151,100.0,-92.5,12.0127,0.0,96.694,ON
2026-04-28T06:55:18Z,BATCAVE_ESR1,-4.177,-24.0081539154053,100.0,-92.5,12.3367,0.0,96.6994,ON
2026-04-28T07:00:20Z,BATCAVE_ESR1,-23.487,-24.0077972412109,100.0,-92.7,13.456,0.0,96.691,ON
2026-04-28T07:05:20Z,BATCAVE_ESR1,-23.522,-45.0777969360352,100.0,-93.7,15.59,0.0,96.692,ON
2026-04-28T07:10:18Z,BATCAVE_ESR1,-44.599,-45.4900321960449,100.0,-98.3,18.573,0.0,96.696,ON
2026-04-28T07:15:19Z,BATCAVE_ESR1,-45.035,-44.0812110900879,100.0,-99.0,22.593,0.0,96.698,ON
2026-04-28T07:20:19Z,BATCAVE_ESR1,-43.67,-42.685375213623,100.0,-99.0,26.602,0.0,96.695,ON
2026-04-28T07:25:17Z,BATCAVE_ESR1,-42.249,-40.5186462402344,100.0,-99.0,30.407,0.0,96.693,ON
2026-04-28T07:30:20Z,BATCAVE_ESR1,-40.137,-39.8974647521973,100.0,-99.0,34.06,0.0,96.693,ON
2026-04-28T07:35:17Z,BATCAVE_ESR1,-39.408,-39.0527954101563,100.0,-98.9,37.62,0.0,96.692,ON
